program_id,program_name,department,district,start_date,budget_allocated,beneficiaries,completion_rate,budget_utilization,satisfaction_score,social_engagement,sentiment_score,reach_rate,cost_per_beneficiary,roi_score,effectiveness_score,impact_category,implementation_status,risk_level,strategic_recommendation,budget_efficiency_score,beneficiary_scale,satisfaction_category,budget_tier,program_age_days,program_maturity
PRG-00001,Digital UMKM Empowerment,Dinas Koperasi,Batu,2024-10-08,1551802512,16295,68.66,91.19,4.25,17023,0.703,70.76,95231.82,78.21,78.21,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,85.76598311218335,Medium Scale,High,Tier 1,581,Established
PRG-00002,Public WiFi Expansion,DISKOMINFO,Bumiaji,2024-04-14,9463334018,2933,83.97,83.37,3.84,185779,0.456,71.58,3226503.25,78.51,78.51,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,94.17056495142138,Small Scale,Moderate,Tier 4,758,Mature
PRG-00003,Education Assistance,Dinas Pendidikan,Batu,2024-01-31,902418010,19442,76.86,80.58,3.71,85654,-0.085,55.86,46415.9,69.46,69.46,Low Impact,Completed,High,Conduct a strategic review and redesign the program.,86.2000496401092,Medium Scale,Moderate,Tier 1,832,Mature
PRG-00004,Tourism Promotion Campaign,Dinas Pariwisata,Bumiaji,2025-09-08,9203905715,1767,99.84,82.56,4.16,4890,0.319,100.0,5208775.16,89.74,89.74,High Impact,Expanded,Low,Scale up program implementation.,108.69670542635659,Small Scale,High,Tier 4,246,Growing
PRG-00005,Tourism Promotion Campaign,Dinas Pariwisata,Bumiaji,2025-10-27,2301823908,22277,74.8,97.47,4.26,121174,0.291,92.23,103327.37,83.26,83.26,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,85.42115522724941,Large Scale,High,Tier 1,197,Growing
PRG-00006,Environmental Sustainability,Dinas Lingkungan Hidup,Bumiaji,2024-10-11,3960967357,17659,100.0,96.23,3.43,20457,0.106,72.7,224303.04,81.64,81.64,Moderate Impact,Expanded,Medium,Optimize delivery and improve stakeholder engagement.,84.83840798087914,Medium Scale,Moderate,Tier 2,578,Established
PRG-00007,Education Assistance,Dinas Pendidikan,Junrejo,2024-10-11,1167779376,41257,55.86,77.56,4.19,12534,0.531,76.27,28305.0,72.28,72.28,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,93.19236719958741,Large Scale,High,Tier 1,578,Established
PRG-00008,Healthcare Outreach,Dinas Kesehatan,Batu,2024-04-04,2131775357,23747,78.39,90.63,5.0,87807,0.113,64.79,89770.3,80.64,80.64,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,88.97715988083417,Large Scale,High,Tier 1,768,Mature
PRG-00009,Healthcare Outreach,Dinas Kesehatan,Junrejo,2025-09-10,9276552803,9071,70.56,77.52,3.07,134767,0.108,93.46,1022660.43,72.37,72.37,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,93.35655314757483,Medium Scale,Moderate,Tier 4,244,Growing
PRG-00010,Environmental Sustainability,Dinas Lingkungan Hidup,Bumiaji,2024-05-07,2125792787,13166,93.18,85.93,3.76,105488,0.226,76.32,161460.79,81.02,81.02,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,94.28604678226462,Medium Scale,Moderate,Tier 1,735,Mature
PRG-00011,Youth Entrepreneurship,Dinas Koperasi,Junrejo,2025-10-05,8495970241,35722,96.55,100.0,3.23,109066,0.609,62.43,237835.79,80.67,80.67,Moderate Impact,Expanded,Medium,Optimize delivery and improve stakeholder engagement.,80.67,Large Scale,Moderate,Tier 4,219,Growing
PRG-00012,Agricultural Innovation,Dinas Pertanian,Batu,2025-12-22,798737106,14273,81.09,92.68,4.5,99806,0.441,100.0,55961.4,87.96,87.96,High Impact,Completed,Low,Scale up program implementation.,94.90720759602934,Medium Scale,High,Tier 1,141,Early Stage
PRG-00013,Tourism Promotion Campaign,Dinas Pariwisata,Junrejo,2024-03-22,4173561638,706,77.22,87.39,3.32,111687,0.711,66.27,5911560.39,74.68,74.68,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,85.4560018308731,Small Scale,Moderate,Tier 2,781,Mature
PRG-00014,Digital UMKM Empowerment,Dinas Koperasi,Junrejo,2024-10-11,8377444318,6874,87.09,100.0,3.81,165899,0.484,87.12,1218714.62,85.04,85.04,High Impact,Completed,Low,Scale up program implementation.,85.04,Medium Scale,Moderate,Tier 4,578,Established
PRG-00015,Public WiFi Expansion,DISKOMINFO,Junrejo,2024-12-29,9989760430,28390,88.02,99.58,4.24,26939,0.529,79.46,351876.03,86.08,86.08,High Impact,Completed,Low,Scale up program implementation.,86.44306085559349,Large Scale,High,Tier 4,499,Established
